"","species","Freq"
"1","Abramis brama (Linnaeus, 1758)",61
"2","Alburnus alburnus (Linnaeus, 1758)",660
"3","Anguilla anguilla (Linnaeus, 1758)",2140
"4","Astacus astacus (Linnaeus, 1758)",618
"5","Barbatula barbatula (Linnaeus, 1758)",620
"6","Blicca bjoerkna (Linnaeus, 1758)",74
"7","Carassius carassius (Linnaeus, 1758)",35
"8","Cobitis taenia Linnaeus, 1758",3
"9","Coregonus maraena (Bloch, 1779)",18
"10","Cottus gobio Linnaeus, 1758",9702
"11","Cottus poecilopus Heckel, 1840",4615
"12","Cyprinus carpio Linnaeus, 1758",6
"13","Esox lucius Linnaeus, 1758",4854
"14","Gasterosteus aculeatus Linnaeus, 1758",178
"15","Gobio gobio (Linnaeus, 1758)",167
"16","Gymnocephalus cernua (Linnaeus, 1758)",310
"17","Lampetra fluviatilis (Linnaeus, 1758)",122
"18","Lampetra planeri (Bloch, 1784)",2220
"19","Leucaspius delineatus (Heckel, 1843)",12
"20","Leuciscus aspius (Linnaeus, 1758)",6
"21","Leuciscus idus (Linnaeus, 1758)",103
"22","Leuciscus leuciscus (Linnaeus, 1758)",93
"23","Lota lota (Linnaeus, 1758)",7081
"24","Oncorhynchus mykiss (Walbaum, 1792)",14
"25","Osmerus eperlanus (Linnaeus, 1758)",3
"26","Pacifastacus leniusculus (Dana, 1852)",4096
"27","Perca fluviatilis Linnaeus, 1758",3660
"28","Petromyzon marinus Linnaeus, 1758",8
"29","Phoxinus phoxinus (Linnaeus, 1758)",10999
"30","Platichthys flesus (Linnaeus, 1758)",116
"31","Pleuronectes platessa Linnaeus, 1758",4
"32","Pomatoschistus minutus (Pallas, 1770)",2
"33","Pungitius pungitius (Linnaeus, 1758)",441
"34","Rutilus rutilus (Linnaeus, 1758)",3049
"35","Salmo salar Linnaeus, 1758",6897
"36","Salmo trutta Linnaeus, 1758",25180
"37","Salvelinus alpinus (Linnaeus, 1758)",46
"38","Salvelinus fontinalis (Mitchill, 1814)",856
"39","Sander lucioperca (Linnaeus, 1758)",12
"40","Scardinius erythrophthalmus (Linnaeus, 1758)",23
"41","Silurus glanis Linnaeus, 1758",32
"42","Squalius cephalus (Linnaeus, 1758)",287
"43","Thymallus thymallus (Linnaeus, 1758)",3660
"44","Tinca tinca (Linnaeus, 1758)",108
"45","Vimba vimba (Linnaeus, 1758)",9
